arm,seed,n_completed,n_edge,n_cloud,edge_revenue,edge_true_cost,edge_profit,edge_margin_pct,n_edge_loss_making,cloud_revenue,cloud_true_cost,cloud_profit,total_revenue,total_user_spend,edge_mean_a_buyer,edge_mean_surplus,edge_surplus_pct_of_valuation,cloud_mean_a_buyer,cloud_mean_surplus,cloud_surplus_pct_of_valuation,n_ir_violations,n_tasks_cap
HEDGE_C,11,94750,84425,10325,24.2789735354123,0.5005553576562973,23.778418177756006,97.93831746253109,0,27267.673379800002,18178.448919866667,9089.224459933335,27291.952353335415,27291.952353335415,5.213107440017997,5.212819859638543,99.99448351328333,5.708224611449543,3.0672877223647967,53.73453098205769,0,320000
HEDGE_C,12,94856,84351,10505,24.45170623591384,0.511073684684383,23.940632551229456,97.90986494049345,0,27956.530587933335,18637.687058622225,9318.84352931111,27980.98229416925,27980.98229416925,5.175909180971196,5.175619300516479,99.99439942926774,5.729565938883073,3.0683064826304944,53.55216285770913,0,320000
HEDGE_C,13,95398,85624,9774,24.31695781728056,0.4872942582233722,23.829663559057188,97.99607228056678,0,25484.943352000002,16989.96223466667,8494.981117333333,25509.260309817284,25509.260309817284,5.169428299247805,5.169144302263113,99.99450622064468,5.587876175408659,2.980454101334585,53.33786948341988,0,320000
HEDGE_C,14,94856,84888,9968,24.13074352366999,0.4856773992612232,23.645066124408768,97.98730860163998,0,26486.548986,17657.699324,8828.849662,26510.679729523672,26510.679729523672,5.242674445312011,5.242390179649919,99.99457785019732,5.55734790829954,2.9001901047281113,52.186585266631674,0,320000
HEDGE_C,15,95175,83699,11476,23.775835405352638,0.4866090879790729,23.289226317373565,97.95334599317792,0,30545.55848446667,20363.705656311115,10181.852828155555,30569.33431987202,30569.33431987202,5.201521962088997,5.201237898535009,99.99453883774673,5.590715568157334,2.9290252157290784,52.390882348079586,0,320000
HEDGE_C,16,94750,81578,13172,24.779062696773092,0.5273758275066638,24.25168686926643,97.87168774719092,0,35068.570592933334,23379.047061955556,11689.523530977778,35093.34965563011,35093.34965563011,5.239969445691019,5.239665698814449,99.99420327008167,5.74010352470291,3.077746206684892,53.6183048518134,0,320000
HEDGE_C,17,94856,83817,11039,23.329297433200153,0.46081463759255176,22.8684827956076,98.0247384692487,0,29361.551824466667,19574.36788297778,9787.18394148889,29384.881121899867,29384.881121899867,5.221551467513233,5.221273131406797,99.9946694749986,5.671902675679631,3.012100897940101,53.105652021421164,0,320000
HEDGE_C,18,94964,84639,10325,25.15440069246838,0.5387638677256813,24.615636824742698,97.85817251497072,0,26982.871777800003,17988.5811852,8994.290592600002,27008.02617849247,27008.02617849247,5.2337727479333065,5.233475551597192,99.99432156590612,5.448805377153484,2.835452178335082,52.0380520512618,0,320000
HEDGE_C,19,94964,83748,11216,25.752298106602858,0.5655421108006974,25.18675599580216,97.80391595165756,0,29833.554479466668,19889.036319644445,9944.518159822223,29859.30677757327,29859.30677757327,5.184361289934247,5.184053792464378,99.99406874921186,5.681527391335015,3.0216170418818526,53.18318180583213,0,320000
HEDGE_C,20,95280,84179,11101,24.172357751498254,0.49265050606845767,23.679707245429796,97.96192613425174,0,29545.55285946667,19697.035239644447,9848.517619822222,29569.725217218165,29569.725217218165,5.141115158303915,5.140828004052243,99.99441455320819,5.993483784341994,3.331962042204649,55.593076782979146,0,320000
HEDGE_C,21,94964,83749,11215,24.17729893571068,0.49014411877095776,23.687154816939724,97.97270935816988,0,29641.020063133335,19760.68004208889,9880.340021044445,29665.197362069048,29665.197362069048,5.204529590963585,5.204240903350172,99.9944531468528,5.98044267967968,3.3374627364667204,55.80628249822937,0,320000
HEDGE_C,22,95175,85679,9496,23.857711326249223,0.4712511678460401,23.38646015840318,98.02474277016023,0,25265.4221172,16843.6147448,8421.807372399999,25289.27982852625,25289.27982852625,5.2557737700044695,5.255495315408521,99.99470192957052,5.511014541994698,2.850376155600427,51.72144137672227,0,320000
HEDGE_C,23,95072,85889,9183,25.775307750296733,0.5441672599132076,25.231140490383524,97.88880402443712,0,24200.136125,16133.424083333335,8066.712041666666,24225.911432750298,24225.911432750298,5.262150807855203,5.26185070763573,99.99429700458177,5.543216413436234,2.907897223084497,52.45866309740367,0,320000
HEDGE_C,24,95175,79739,15436,21.916983833636483,0.43214829783465536,21.484835535801828,98.02824922847536,0,41105.40454993334,27403.60303328889,13701.801516644446,41127.321533766975,41127.321533766975,5.168410647296867,5.168135788271376,99.99468194297535,5.789431823947819,3.126474804646618,54.00313709048346,0,320000
HEDGE_C,25,95280,83106,12174,23.522781293304764,0.464791902857945,23.057989390446817,98.02407760773494,0,32215.96788046667,21477.311920311113,10738.655960155556,32239.490661759974,32239.490661759974,5.206737291757861,5.206454246234153,99.99456386009417,5.623561319215068,2.977268573982058,52.942760023067066,0,320000
HEDGE_C,26,95072,82292,12780,23.657476485487248,0.49227288133003305,23.165203604157213,97.91916571646169,0,33753.789864,22502.526576000004,11251.263287999995,33777.44734048549,33777.44734048549,5.2498544188117435,5.24956693671767,99.99452399874092,5.611051248485358,2.9699096315839495,52.929647227614325,0,320000
HEDGE_C,27,94750,82290,12460,24.343937437150288,0.5088173787105257,23.835120058439763,97.90988051943462,0,32676.237136133335,21784.158090755558,10892.079045377777,32700.581073570487,32700.581073570487,5.115790191909732,5.115494360855689,99.99421729502296,5.605696631620021,2.983205689715259,53.217394478465124,0,320000
HEDGE_C,28,95280,83824,11456,25.17755683213688,0.5488458432959308,24.62871098884095,97.82009888030368,0,30244.0101216,20162.673414400004,10081.336707199996,30269.187678432136,30269.187678432136,5.296526689884291,5.296226327734642,99.99432907323543,5.525814863464984,2.8858000134649835,52.22397211576921,0,320000
HEDGE_C,29,95175,83339,11836,23.253859622275,0.47114008525710116,22.7827195370179,97.97392736986426,0,31543.750765933335,21029.16717728889,10514.583588644444,31567.00462555561,31567.00462555561,5.224457097871811,5.224178070530203,99.9946592088636,5.8467474920259646,3.1816789920315975,54.41793059082683,0,320000
HEDGE_C_Kmax0,0,9676,0,9676,0,0,0,nan,0,25745.4248172,17163.616544800003,8581.808272399998,25745.4248172,25745.4248172,nan,nan,nan,5.490912035823615,2.8301612279277895,51.54264372591204,0,320000
HEDGE_C_Kmax0,1,12353,0,12353,0,0,0,nan,0,32349.621965600003,21566.414643733337,10783.207321866666,32349.621965600003,32349.621965600003,nan,nan,nan,5.756994032738483,3.138227582030153,54.51156565707544,0,320000
HEDGE_C_Kmax0,2,12604,0,12604,0,0,0,nan,0,33534.05529466667,22356.036863111112,11178.01843155556,33534.05529466667,33534.05529466667,nan,nan,nan,5.798700999067925,3.138112670389198,54.117511333893816,0,320000
HEDGE_C_Kmax0,3,10326,0,10326,0,0,0,nan,0,27213.379741066667,18142.253160711112,9071.126580355554,27213.379741066667,27213.379741066667,nan,nan,nan,5.732965525153684,3.097542346665725,54.0303675833231,0,320000
HEDGE_C_Kmax0,4,11342,0,11342,0,0,0,nan,0,29938.301735333334,19958.867823555556,9979.433911777778,29938.301735333334,29938.301735333334,nan,nan,nan,5.7170277254931205,3.0774313813445278,53.82921911716083,0,320000
HEDGE_C_Kmax0,5,13351,0,13351,0,0,0,nan,0,35280.09178273333,23520.061188488893,11760.03059424444,35280.09178273333,35280.09178273333,nan,nan,nan,5.683468015153298,3.040962451320376,53.50540274375686,0,320000
HEDGE_C_Kmax0,6,12889,0,12889,0,0,0,nan,0,34046.2715092,22697.51433946667,11348.75716973333,34046.2715092,34046.2715092,nan,nan,nan,5.763548028367968,3.1220497345360174,54.168885540111845,0,320000
HEDGE_C_Kmax0,7,11836,0,11836,0,0,0,nan,0,30931.267320733336,20620.84488048889,10310.422440244445,30931.267320733336,30931.267320733336,nan,nan,nan,5.489413430290271,2.8760924332698803,52.39343820233627,0,320000
HEDGE_C_Kmax0,8,10742,0,10742,0,0,0,nan,0,28588.214141133336,19058.809427422224,9529.404713711112,28588.214141133336,28588.214141133336,nan,nan,nan,5.939906670316951,3.2785573739910023,55.19543582013991,0,320000
HEDGE_C_Kmax0,9,11394,0,11394,0,0,0,nan,0,30327.210589600003,20218.140393066667,10109.070196533336,30327.210589600003,30327.210589600003,nan,nan,nan,5.722005256325548,3.060322740124038,53.483396170266005,0,320000
HEDGE_C_Kmax0,10,9443,0,9443,0,0,0,nan,0,24668.832094733334,16445.88806315556,8222.944031577776,24668.832094733334,24668.832094733334,nan,nan,nan,5.7142783292703365,3.101884800229424,54.28305415822312,0,320000
HEDGE_C_Kmax0,11,10325,0,10325,0,0,0,nan,0,27267.673379800002,18178.448919866667,9089.224459933335,27267.673379800002,27267.673379800002,nan,nan,nan,5.708224611449543,3.0672877223647967,53.73453098205769,0,320000
HEDGE_C_Kmax0,12,10505,0,10505,0,0,0,nan,0,27956.530587933335,18637.687058622225,9318.84352931111,27956.530587933335,27956.530587933335,nan,nan,nan,5.729565938883073,3.0683064826304944,53.55216285770913,0,320000
HEDGE_C_Kmax0,13,9774,0,9774,0,0,0,nan,0,25484.943352000002,16989.96223466667,8494.981117333333,25484.943352000002,25484.943352000002,nan,nan,nan,5.587876175408659,2.980454101334585,53.33786948341988,0,320000
