experiment,algorithm,seed,N_nodes,K_max,arrival_rate,arm,floor_violations,is_resale_violations,n_tasks_evaluated,n_completed,n_rejected,cfg_pi_co2,cfg_lambda_max,cfg_enable_resale,cfg_predictor_mode,M1_p50_latency_s,M1_p95_latency_s,M1_p99_latency_s,M1_mean_latency_s,M2_mean_cost_usd,M3_system_utilisation,M4_utilisation_variance,M5_market_revenue_usd,M6_rejection_rate,M7_carbon_g_per_task,M8_quote_variance,M9_edge_service_fraction,M10_completion_rate,M11_jfi,M12_tsfr,M13_err,M14_rmse_load,M14_rmse_revenue,M15_energy_joules_per_task,M16_myerson_efficiency,M17_primary_offload_fraction
hedge_c_widecom,HEDGE,10,125,15,6.0,HEDGE_C,0,0,2474662,2474662,0,0.0,0.0,False,instantaneous,0.09408315787155834,0.303934177792796,0.303934177792796,0.1245459933914924,0.26199829330804647,0.04566072087349741,0.024056792823417203,668.8839545434857,0.0,218.10626715573278,3.0812750800882935e-25,0.8998109640831758,1.0,0.08486228437675179,0.0,0.0,0.0,0.23664406065886712,9814752.270068271,0.09488611795099487,0.8298676748582231
hedge_c_widecom,HEDGE,11,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09517359021049847,0.3040193390728395,0.3040193390728395,0.12833759499629047,0.28926410368736094,0.04116668879946045,0.020242337072715694,634.0926979204461,0.0,240.83912914892855,1.8742819176526289e-25,0.8905660377358491,1.0,0.06949772278497578,0.0,0.0,0.0,0.30983949105726977,10837745.545104017,0.10342810321704424,0.8339622641509434
hedge_c_widecom,HEDGE,12,125,15,6.0,HEDGE_C,0,0,2474991,2474991,0,0.0,0.0,False,instantaneous,0.09281645016158413,0.30241946968356886,0.30241946968356886,0.1235645136995281,0.2959531644360619,0.04077046901654954,0.02037188471878908,638.1551389065958,0.0,246.41214951633705,2.090053342043242e-25,0.8888888888888888,1.0,0.07253389195330151,0.0,0.0,0.0,0.26832896448548044,11088519.47777762,0.10602300525525371,0.8361581920903954
hedge_c_widecom,HEDGE,13,125,15,6.0,HEDGE_C,0,0,2475356,2475356,0,0.0,0.0,False,instantaneous,0.09373430425984777,0.28700740059197805,0.28700740059197805,0.12072721618864266,0.26793715659551054,0.04342806399203109,0.021042425072443107,631.321049636556,0.0,223.06794589938204,1.9806087759054533e-25,0.8973384030418251,1.0,0.07493175612545568,0.0,0.0,0.0,0.2966486370990294,10038031.462773059,0.09853006050946864,0.8422053231939164
hedge_c_widecom,HEDGE,14,125,15,6.0,HEDGE_C,0,0,2474991,2474991,0,0.0,0.0,False,instantaneous,0.09232431116396282,0.29752381888253165,0.29752381888253165,0.11707274614901156,0.2804820157441999,0.0471015083529492,0.021884436408472586,629.7633717529473,0.0,233.52263677500508,2.357855410032247e-25,0.8945386064030132,1.0,0.07909056655511275,0.0,0.0,0.0,0.2190899116103819,10508483.829202779,0.10173021378314798,0.8305084745762712
hedge_c_widecom,HEDGE,15,125,15,6.0,HEDGE_C,0,0,2475191,2475191,0,0.0,0.0,False,instantaneous,0.09212332196587594,0.31284686844080556,0.31284686844080556,0.12381119233467372,0.3222678974346953,0.04239033716986971,0.02109262887191017,618.0625681475813,0.0,268.347743946036,2.1134338218736145e-25,0.8790170132325141,1.0,0.07382126946651874,0.0,0.0,0.0,0.2683288816933684,12075621.755950991,0.11693657030862945,0.8185255198487713
hedge_c_widecom,HEDGE,16,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09622691682630752,0.34614622854890864,0.34614622854890864,0.13736758471890104,0.37198676965308,0.03945773229677982,0.020549307515486986,647.0116076714845,0.0,309.7704656499261,2.190413381855227e-25,0.8603773584905661,1.0,0.07381109790465791,0.0,0.0,0.0,0.21909008571947725,13939633.11133756,0.1289224662691593,0.7905660377358491
hedge_c_widecom,HEDGE,17,125,15,6.0,HEDGE_C,0,0,2474991,2474991,0,0.0,0.0,False,instantaneous,0.09194162715865703,0.2937336550184627,0.2937336550184627,0.11785159616983452,0.3108064342403254,0.043699467722060556,0.02002658297554837,608.8306099638389,0.0,258.79970471466595,1.9088164809917435e-25,0.8832391713747646,1.0,0.07141803057973281,0.0,0.0,0.0,0.2683289139185958,11645957.900464637,0.11041429305106862,0.8361581920903954
hedge_c_widecom,HEDGE,18,125,15,6.0,HEDGE_C,0,0,2474864,2474864,0,0.0,0.0,False,instantaneous,0.09318118259967019,0.3001337401767237,0.3001337401767237,0.12017916239129589,0.2851788754066153,0.043839734239778196,0.021559113887761328,655.8193424508804,0.0,237.42824230046176,2.5715805214424585e-25,0.8909774436090225,1.0,0.07971314541939395,0.0,0.0,0.0,0.2190900567967339,10684222.172958031,0.1024805143467607,0.8270676691729323
hedge_c_widecom,HEDGE,19,125,15,6.0,HEDGE_C,0,0,2474864,2474864,0,0.0,0.0,False,instantaneous,0.09448445023376909,0.3009953190297482,0.3009953190297482,0.12417373168022659,0.3152605352453198,0.04571843096150623,0.02214033893538339,671.4176575063146,0.0,262.49069902475827,2.8989585532605086e-25,0.881578947368421,1.0,0.0817314823524631,0.0,0.0,0.0,0.17888673392174934,11812039.073038686,0.11382785864257874,0.8176691729323309
